group_id,supplement_id,name,event_type,event_date,event_year,event_year_start,event_year_end,place,country,record_ids,record_sets,source_urls,integration_outcome,profile_id,creation_status,handoff_path,decision_basis
fmp-glasgow-50e16607a480,fmp-glasgow-50e16607a480,Robert Glasgow,burial,23 Mar 1559,1559,1559,1559,Holkham,England,GBPRS/NORFOLK/BUR/004320950,Norfolk Burials,https://www.findmypast.co.uk/transcript?id=GBPRS%2FNORFOLK%2FBUR%2F004320950&tab=this,existing_profile,Glasgow-4063,,,human_override
fmp-glasgow-f25b7384f2e9,fmp-glasgow-f25b7384f2e9,John Glasgow,testament/probate,4 May 1577,1577,1577,1577,,Scotland,SCOT/WILLS/057444,"Scotland, Will And Testament Index 1481-1807",https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057444&tab=this,existing_profile,Glasgow-3181,,,human_override
fmp-glasgow-faa9cffab9d5,fmp-glasgow-faa9cffab9d5,Margaret Glasgow,testament/probate,8 Nov 1580,1580,1580,1580,,Scotland,SCOT/WILLS/057454,"Scotland, Will And Testament Index 1481-1807",https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057454&tab=this,existing_profile,Glasgow-3613,,,human_override
fmp-glasgow-d91f9d0f8066,fmp-glasgow-d91f9d0f8066,Ninian Glasgow,burgess admission,23 Oct 1596,1596,1596,1596,Glasgow,Scotland,SCOT/BURGESS/0025945,"Scotland, Burgess & Guild Brethren Index",https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0025945&tab=this,existing_profile,Glasgow-3188,,,human_override
fmp-glasgow-2afd2a13c27a,fmp-glasgow-2afd2a13c27a,Andrew Glasgow,testament/probate,10 Jul 1598,1598,1598,1598,Calder,Scotland,SCOT/WILLS/057425,"Scotland, Will And Testament Index 1481-1807",https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057425&tab=this,existing_profile,Glasgow-3163,,,human_override
fmp-glasgow-5c2ca217f786,fmp-glasgow-5c2ca217f786,Geillis Glasgow,testament/probate,11 May 1603,1603,1603,1603,Ardrossan,Scotland,SCOT/WILLS/057431,"Scotland, Will And Testament Index 1481-1807",https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057431&tab=this,existing_profile,Glasgow-3179,,,human_override
fmp-glasgow-223c981b581f,fmp-glasgow-223c981b581f,George Glasgow,baptism,17 Feb 1605,1605,1605,1605,Mid Calder,Scotland,R_686312170 | R_694110723,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686312170&tab=this | https://www.findmypast.co.uk/transcript?id=R_694110723&tab=this,existing_profile,Glasgow-1082,,,human_override
fmp-glasgow-26c2dd21572c,fmp-glasgow-26c2dd21572c,Katherine Glasgow,testament/probate,9 May 1605,1605,1605,1605,,Scotland,SCOT/WILLS/057453,"Scotland, Will And Testament Index 1481-1807",https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057453&tab=this,existing_profile,Glasgow-1495,,,human_override
fmp-glasgow-e282854aa0b5,fmp-glasgow-e282854aa0b5,Elspeth Glasgow,baptism,02 Mar 1606,1606,1606,1606,Mid Calder,Scotland,R_686313316 | R_694107799,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686313316&tab=this | https://www.findmypast.co.uk/transcript?id=R_694107799&tab=this,existing_profile,Glasgow-1054,,,human_override
fmp-glasgow-cf1b4a398238,fmp-glasgow-cf1b4a398238,Ninian Glasgow,testament/probate,27 Aug 1607,1607,1607,1607,Glasgow,Scotland,SCOT/WILLS/057458,"Scotland, Will And Testament Index 1481-1807",https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057458&tab=this,existing_profile,Glasgow-3188,,,human_override
fmp-glasgow-6644ab3fa586,fmp-glasgow-6644ab3fa586,Jhone Glasgow,baptism,26 Jun 1608,1608,1608,1608,Mid Calder,Scotland,R_686312587 | R_694112773 | SCOT/OPR/BAP/4585634,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686312587&tab=this | https://www.findmypast.co.uk/transcript?id=R_694112773&tab=this | https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F4585634&tab=this,existing_profile,Glasgow-1086,,,human_override
fmp-glasgow-74a505dee20f,fmp-glasgow-74a505dee20f,Cristiane Glasgow,baptism,,1609,1609,1609,Inveresk with Musselburgh,Scotland,R_686178483 | R_693571691,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686178483&tab=this | https://www.findmypast.co.uk/transcript?id=R_693571691&tab=this,existing_profile,Glasgow-2456,,,human_override
fmp-glasgow-7cbeb1492d76,fmp-glasgow-7cbeb1492d76,Eduard Glasgow,baptism,,1609,1609,1609,Inveresk with Musselburgh,Scotland,R_686174177 | R_693575445,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686174177&tab=this | https://www.findmypast.co.uk/transcript?id=R_693575445&tab=this,existing_profile,Glasgow-994,,,human_override
fmp-glasgow-74ff22efa93c,fmp-glasgow-74ff22efa93c,William Glasgow,baptism,24 Dec 1609,1609,1609,1609,Mid Calder,Scotland,R_686309726 | R_694111819 | SCOT/OPR/BAP/4585702,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686309726&tab=this | https://www.findmypast.co.uk/transcript?id=R_694111819&tab=this | https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F4585702&tab=this,existing_profile,Glasgow-1087,,,human_override
fmp-glasgow-fb7a67bf0ee0,fmp-glasgow-fb7a67bf0ee0,Beatrix Glasgow,baptism,15 Apr 1610,1610,1610,1610,Mid Calder,Scotland,R_686310039 | R_694107870,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686310039&tab=this | https://www.findmypast.co.uk/transcript?id=R_694107870&tab=this,existing_profile,Glasgow-1083,,,human_override
fmp-glasgow-be5487ea2b80,fmp-glasgow-be5487ea2b80,John Glasgow,testament/probate,17 Aug 1610,1610,1610,1610,,Scotland,SCOT/WILLS/057449,"Scotland, Will And Testament Index 1481-1807",https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057449&tab=this,existing_profile,Glasgow-3296,,,human_override
fmp-glasgow-e1d691461260,fmp-glasgow-e1d691461260,Margaret Glasgow,baptism,06 May 1610,1610,1610,1610,Glasgow,Scotland,R_693716335,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693716335&tab=this,existing_profile,Glasgow-1100,,,human_override
fmp-glasgow-bde5392462b5,fmp-glasgow-bde5392462b5,Beatrix Glasgow,baptism,15 Apr 1611,1611,1611,1611,Midcalder,Scotland,SCOT/OPR/BAP/4585741,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F4585741&tab=this,existing_profile,Glasgow-1083,,,human_override
fmp-glasgow-65f4901d3c5c,fmp-glasgow-65f4901d3c5c,Margaret Glasgow,marriage,16 Jul 1611,1611,1611,1611,Edinburgh,Scotland,R_695883544/2,"Scotland, Parish Marriages & Banns 1561-1893",https://www.findmypast.co.uk/transcript?id=R_695883544%2F2&tab=this,existing_profile,Glasgow-3598,,,human_override
fmp-glasgow-c3bc3cd2f9f5,fmp-glasgow-c3bc3cd2f9f5,Issobell Glasgow,baptism,03 May 1612,1612,1612,1612,Mid Calder,Scotland,R_686309199 | R_694107871 | SCOT/OPR/BAP/4585815,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686309199&tab=this | https://www.findmypast.co.uk/transcript?id=R_694107871&tab=this | https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F4585815&tab=this,existing_profile,Glasgow-1085,,,human_override
fmp-glasgow-b1b3eca22446,fmp-glasgow-b1b3eca22446,Ninian Glasgow,testament/probate,8 May 1613,1613,1613,1613,Glasgow,Scotland,SCOT/WILLS/057459,"Scotland, Will And Testament Index 1481-1807",https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057459&tab=this,existing_profile,Glasgow-3188,,,human_override
fmp-glasgow-f3d62f589049,fmp-glasgow-f3d62f589049,Ninian Glasgow,Occupations,,1613,1613,1613,,Scotland,GBOR/DOBSON/004797,"Scotland, Occupations & Professions",https://www.findmypast.co.uk/transcript?id=GBOR%2FDOBSON%2F004797&tab=this,existing_profile,Glasgow-3188,,,human_override
fmp-glasgow-3967dc869c05,fmp-glasgow-3967dc869c05,Rot. Glasgow,marriage,06 Apr 1613,1613,1613,1613,Glasgow,Scotland,R_694496755/1,"Scotland, Parish Marriages & Banns 1561-1893",https://www.findmypast.co.uk/transcript?id=R_694496755%2F1&tab=this,existing_profile,Glasgow-1027,,,human_override
fmp-glasgow-b0b59fa9818e,fmp-glasgow-b0b59fa9818e,Rpbert Glasgow,burgess admission,22 Apr 1613,1613,1613,1613,Glasgow,Scotland,SCOT/BURGESS/0025946,"Scotland, Burgess & Guild Brethren Index",https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0025946&tab=this,existing_profile,Glasgow-1027,,,human_override
fmp-glasgow-91919c567ea1,fmp-glasgow-91919c567ea1,Archibald Glasgow,baptism,19 Jun 1614,1614,1614,1614,Glasgow,Scotland,R_693724617,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693724617&tab=this,existing_profile,Glasgow-1101,,,human_override
fmp-glasgow-7c955507b78b,fmp-glasgow-7c955507b78b,Ninian Glasgow,baptism,06 Jan 1614,1614,1614,1614,Glasgow,Scotland,R_693723972,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693723972&tab=this,existing_profile,Glasgow-1079,,,human_override
fmp-glasgow-c608ee62fa8a,fmp-glasgow-c608ee62fa8a,William Glasgow,baptism,,1614,1614,1614,Inveresk with Musselburgh,Scotland,R_686177762 | R_693575447,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686177762&tab=this | https://www.findmypast.co.uk/transcript?id=R_693575447&tab=this,existing_profile,Glasgow-3517,,,human_override
fmp-glasgow-f8bbedf29384,fmp-glasgow-f8bbedf29384,Edward Glasgow,baptism,,1615,1615,1615,Inveresk with Musselburgh,Scotland,R_686177760 | R_693575446,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686177760 | https://www.findmypast.co.uk/transcript?id=R_693575446&tab=this,existing_profile,Glasgow-1558,,,human_override
fmp-glasgow-b9c5535df816,fmp-glasgow-b9c5535df816,Jonat Glasgow,baptism,18 May 1615,1615,1615,1615,Glasgow,Scotland,R_693716583,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693716583&tab=this,existing_profile,Glasgow-1080,,,human_override
fmp-glasgow-ef230e20e0e0,fmp-glasgow-ef230e20e0e0,Barbara Glasgow,marriage,21 Nov 1616,1616,1616,1616,Edinburgh,Scotland,R_695875833/2,"Scotland, Parish Marriages & Banns 1561-1893",https://www.findmypast.co.uk/transcript?id=R_695875833%2F2&tab=this,existing_profile,Glasgow-3302,,,human_override
fmp-glasgow-e36059d2d68b,fmp-glasgow-e36059d2d68b,Elizabeth Glasgow,baptism,15 Dec 1616,1616,1616,1616,Glasgow,Scotland,R_693715957,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693715957&tab=this,existing_profile,Glasgow-1091,,,human_override
fmp-glasgow-155c74c6dd03,fmp-glasgow-155c74c6dd03,John Glasgow,baptism,10 ? 1616,1616,1616,1616,Midcalder,Scotland,SCOT/OPR/BAP/4585960,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F4585960&tab=this,existing_profile,Glasgow-1084,,,human_override
fmp-glasgow-580b6ddab10a,fmp-glasgow-580b6ddab10a,John Glasgow,baptism,18 Feb 1616,1616,1616,1616,Mid Calder,Scotland,R_686309696 | R_694113518,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686309696&tab=this | https://www.findmypast.co.uk/transcript?id=R_694113518&tab=this,existing_profile,Glasgow-1084,,,human_override
fmp-glasgow-a75d38f2639c,fmp-glasgow-a75d38f2639c,Barbara Glasgow,baptism,21 Oct 1617,1617,1617,1617,Glasgow,Scotland,R_693716837,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693716837&tab=this,existing_profile,Glasgow-1102,,,human_override
